Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
8,4,2780,010,011,776.095754,772.314180,0.976421,1.334085,1.832050,0.487256,3.000000,-1.000000,1.000000,6.000000,5.000000,1.000000,5.000000,-2.000000
9,1,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
9,2,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
9,3,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
9,4,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
10,1,1008,010,111,285.930015,284.670620,3.513200,3.839631,1.173171,0.440456,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-4.000000
10,2,1008,010,111,285.930015,284.670620,3.513200,3.839631,1.173171,0.440456,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-4.000000
10,3,1008,010,111,285.930015,284.670620,3.513200,3.839631,1.173171,0.440456,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-4.000000
10,4,1008,010,111,285.930015,284.670620,3.513200,3.839631,1.173171,0.440456,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-4.000000
11,1,2872,011,001,752.728298,754.525634,2.472840,2.689165,1.873045,0.238776,5.000000,0.000000,1.000000,3.000000,7.000000,0.000000,1.000000,7.000000
11,2,2872,011,001,752.728298,754.525634,2.472840,2.689165,1.873045,0.238776,5.000000,0.000000,1.000000,3.000000,7.000000,0.000000,1.000000,7.000000
11,3,2872,011,001,752.728298,754.525634,2.472840,2.689165,1.873045,0.238776,5.000000,0.000000,1.000000,3.000000,7.000000,0.000000,1.000000,7.000000
11,4,2872,011,001,752.728298,754.525634,2.472840,2.689165,1.873045,0.238776,5.000000,0.000000,1.000000,3.000000,7.000000,0.000000,1.000000,7.000000
12,1,4500,011,010,1204.365277,1228.276468,0.492370,0.855826,1.213048,1.985377,-6.000000,1.000000,0.000000,4.000000,1.000000,8.000000,3.000000,-1.000000
12,2,4500,011,010,1204.365277,1228.276468,0.492370,0.855826,1.213048,1.985377,-6.000000,1.000000,0.000000,4.000000,1.000000,8.000000,3.000000,-1.000000
12,3,4500,011,010,1204.365277,1228.276468,0.492370,0.855826,1.213048,1.985377,-6.000000,1.000000,0.000000,4.000000,1.000000,8.000000,3.000000,-1.000000
12,4,4500,011,010,1204.365277,1228.276468,0.492370,0.855826,1.213048,1.985377,-6.000000,1.000000,0.000000,4.000000,1.000000,8.000000,3.000000,-1.000000
13,1,3596,011,011,1003.637731,978.264628,0.312376,3.027173,2.445769,2.528114,-4.000000,2.000000,4.000000,3.000000,3.000000,2.000000,8.000000,-1.000000
13,2,3596,011,011,1003.637731,978.264628,0.312376,3.027173,2.445769,2.528114,-4.000000,2.000000,4.000000,3.000000,3.000000,2.000000,8.000000,-1.000000
13,3,3596,011,011,1003.637731,978.264628,0.312376,3.027173,2.445769,2.528114,-4.000000,2.000000,4.000000,3.000000,3.000000,2.000000,8.000000,-1.000000
13,4,3596,011,011,1003.637731,978.264628,0.312376,3.027173,2.445769,2.528114,-4.000000,2.000000,4.000000,3.000000,3.000000,2.000000,8.000000,-1.000000
14,1,1260,011,110,351.273206,347.409048,4.469844,4.004440,4.941549,1.100043,-2.000000,1.000000,3.000000,2.000000,1.000000,1.000000,-4.000000,1.000000
14,2,1260,011,110,351.273206,347.409048,4.469844,4.004440,4.941549,1.100043,-2.000000,1.000000,3.000000,2.000000,1.000000,1.000000,-4.000000,1.000000
14,3,1260,011,110,351.273206,347.409048,4.469844,4.004440,4.941549,1.100043,-2.000000,1.000000,3.000000,2.000000,1.000000,1.000000,-4.000000,1.000000
